8 9 11 12 13 17 18 19 20 21 22 23 24 25 26 27 35 38 39 43 44 45 46 49 51 55 56 59 61 66 68 71 72 78 2 3 4 5 6 7 10 14 15 16 28 29 30 31 32 33 34 36 37 40 41 42 52 53 54 57 58 60 62 63 64 65 67 69 70 73 74 75 76 77 
s  p  r  o  g  a  m  v  i  n  t  e  0  1  2  3  4  5  6  7  8  9  .  L  E  =  <  >  l  b  d  f  s  h  w  +  -  *  /  ;  ,  (  )  :  c  j  k  q  u  x  y  z  A  B  C  D  F  G  H  I  J  K  M  N  O  P  Q  R  S  T  U  V  W  X  Y  Z  
58  28  28  28  28  28  28  28  28  59  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
59  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
60  28  28  28  28  28  28  28  28  28  62  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
61  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
62  28  28  28  28  28  28  28  28  28  28  63  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
63  28  28  28  64  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
64  28  28  28  28  28  28  28  28  28  28  65  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
65  28  66  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
66  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
67  28  68  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
68  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
69  28  28  28  28  70  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
70  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  71  28  72  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
71  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
72  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
73  28  28  74  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
74  28  28  28  75  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
75  28  76  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
76  28  28  28  28  77  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
77  28  28  28  28  28  78  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
78  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
